Display Type,LinkedIn Link (map it to Links to get the logo),Startup Name ,Full Address,Description of startup,Website,Stage,# of Employees ,Section
profile,http://www.linkedin.com/company/velosimoinc,Velosimo,"12537 South Brundisi Way, Herriman, UT","Velosimo is ushering in the Connected Revolution with no-code integration connectors explicitly built for connected experiences with government and the distinct scenarios of inner-system use by staff and citizens while providing connector management, deep insight, and self-healing transactions.",www.velosimo.com,Series A ,11-50,B2B Software
profile,http://www.linkedin.com/company/viderahealth,Videra Health,"898 North 1200 West, Orem, UT","Videra Health is a leading AI-driven mental health assessment platform that empowers providers and healthcare organizations to proactively identify, triage, and monitor at-risk patients to close care gaps using linguistic, audio and video analysis. ",www.viderahealth.com,Seed ,11-50,Bio/Medical Tech
profile,http://www.linkedin.com/company/wander-app-inc,Wander,"1083 Terrace Drive, Provo, UT","Wander is the one-app, no-code, interactive mapping replacement for paper maps.",www.wandermaps.com,Seed ,11-50,Consumer
profile,http://www.linkedin.com/company/wasatch-biolabs,Wasatch BioLabs,"321 West 1300 South, Heber City, UT",Wasatch BioLabs is an independent biotechnology company with an innovative approach to diagnostics. ,www.wasatchbiolabs.com,Seed ,11-50,Bio/Medical Tech
profile,http://www.linkedin.com/company/xenter-corp,Xenter,"344 West 13800 South, Draper, UT",Xenter™ is developing a wireless “Technology in Medicine” (TechMed) ecosystem aimed at improving outcomes for patients.,www.xenter.io,Series B ,11-50,Bio/Medical Tech
profile,http://www.linkedin.com/company/zanskar,Zanskar,"90 South 400 West, Salt Lake City, UT","It is our mission to make geothermal power the most affordable form of widely-deployable, 24/7, carbon-free energy generation on the planet.",www.zanskar.com,Series B ,11-50,Energy
profile,http://www.linkedin.com/company/zapmoto,Zapmoto,"11779 Pennbrooke Lane, Highland, UT","It's a broken experience for customers to wait in a dealership for their service to be completed, or to find rides back and forth. With Zapmoto, customers are offered the convenience of a pickup and dropoff of their car to be serviced.",www.zapmoto.com,Seed ,11-50,B2B Software
profile,http://www.linkedin.com/company/alianza,Alianza,"1064 South North County Boulevard, Pleasant Grove, UT","Alianza delivers the only true cloud-native, carrier-grade communications platform built for service providers. Our proprietary full-stack cloud communications platform offers wholesale residential and business communications services, including voice, video conferencing, collaboration, text messaging, and standalone UC softphones.",www.alianza.com,Series D+ ,201-500,B2B Software
profile,http://www.linkedin.com/company/go-blue-eye,Blue Eye,"15 W South Temple, Salt Lake City, UT",We exist to help our customers break free from the shackles of old school video surveillance. ,www.goblueeye.com,Seed ,201-500,Security 
profile,http://www.linkedin.com/company/cotopaxi-com,Cotopaxi,"74 Main Street, Salt Lake City, UT","Cotopaxi creates outdoor products, apparel, and experiences that help alleviate poverty, move people to do good, and inspire adventure. Our social impact strategy focuses on global poverty alleviation, and we employ responsible sourcing and manufacturing practices throughout our supply chains.",www.cotopaxi.com,Series C ,201-500,Consumer
profile,http://www.linkedin.com/company/cupbop,Cupbop,"593 E 12300 S Ste B Draper, UT, 84020","Korean BBQ in a Cup. We're here to end your boredom with the same old food choices. The Cupbop menu is our own delicious take on Korean cuisine. Exotically flavorful, naturally healthy dishes you've never had a chance to try—and we make them all affordable, fresh, and lightning fast.",www.cupbop.com,Seed ,201-500,Consumer
profile,http://www.linkedin.com/company/gabb-wireless,Gabb Wireless,"2701 North Thanksgiving Way, Lehi, UT","We believe children deserve age-appropriate technology solutions that protect them from harmful content and destructive habits while enabling healthy growth and development. Our mission is to protect children, connect kids to families and encourage life outside the screen.",www.gabb.com,Series A ,201-500,Consumer
profile,http://www.linkedin.com/company/homie-com,Homie,"489 South Jordan Parkway, South Jordan, UT","Homie is on a mission to make homeownership easier, more affordable, and accessible for all. By pairing experienced, local real estate professionals with modern technology, we’re changing the way homes are bought and sold. As the fastest growing tech-enabled real estate brokerage in North America, you can count on us to always have your back. Let’s help you get home.",www.homie.com,Series C ,201-500,B2B Software
profile,http://www.linkedin.com/company/pura-scents,Pura ,"2100 Pleasant Grove, Boulevard, Pleasant Grove, UT","Pura is a smart fragrance brand offering an innovative way to fill your home with premium, customizable scents. ",www.pura.com,Series A ,201-500,Consumer
profile,http://www.linkedin.com/company/route-app,Route,"1441 West Innovation Way, Lehi, UT","The post-purchase experience solution loved by customers. Package protection, tracking, and carbon neutral shipping.",www.route.com,Series C ,201-500,B2B Software
profile,http://www.linkedin.com/company/solo-backoffice,Solo,"3049 Executive Parkway, Lehi, UT",SOLO is the industry-leading back-office solution for contractors and sales organizations. ,www.gosolo.io,Series C ,201-500,B2B Software
profile,http://www.linkedin.com/company/vanderhall-motor-works-inc.,Vanderhall,"3500 Mountain Vista Parkway, Provo, UT","Vanderhall Motor Works delivers the feel of yesteryear with modern performance in a unique package. Vanderhall aims to remain timeless while appealing to the Sunday cruiser and aggressive canyon carving driver alike. Our roadsters accomplish this with style and presence that leaves driver and passenger alike yearning for their next outing — manufactured in Provo, Utah with passion and a nod to the past.",www.vanderhallusa.com,Series C ,201-500,Consumer
profile,http://www.linkedin.com/company/nomi-health,Nomi Health,"898 North 1200 West, Orem, UT","Nomi Health is rebuilding healthcare with services and technology solutions that allow easy access to quality, affordable care.",www.nomihealth.com,Series B ,501-1K,Bio/Medical Tech
profile,http://www.linkedin.com/company/american-battery-factory-inc,American Battery Factory,"735 Auto Mall Drive, American Fork, UT","We have a simple plan for a complex energy crisis: make renewable, independent, efficient and affordable energy a reality.

How are we going to do it?
Create the first and best network of U.S.-owned, vertical manufacturing, supply chain and R&D for LFP battery cells by fusing software, hardware and technology to manage an unlimited inventory of sustainable energy sources stored through state-of-the-art battery manufacturing and innovation.",www.americanbatteryfactory.com,Series A ,51-200,Energy
profile,http://www.linkedin.com/company/atomic-fi,Atomic,"2890 East Cottonwood Parkway, Cottonwood Heights, UT","Atomic is a leading financial connectivity platform that puts consumers in control of their personal data. Prioritizing data rights and security, Atomic is trusted by over 195 financial institutions, fintechs and partners.",www.atomic.financial,Series C ,51-200,FinTech
profile,http://www.linkedin.com/company/bacon-inc,Bacon,"3715 Tracy Hall Parkway, Provo, UT","Bacon is a gig-work app that connects established businesses to local gig workers. We make temp work respectable and reliable by holding businesses and workers accountable to one another. Our app allows them to choose one another based on ratings, reviews, and performance. ",www.baconwork.com,Series A,51-200,B2B Software
profile,http://www.linkedin.com/company/bandwango,Bandwango,"6905 South 1300 East, Cottonwood Heights, UT","Bandwango is an all-in-one experience builder platform that gets people excited about exploring, supports small businesses and removes complexities with merchant payments.",www.bandwango.com,Seed ,51-200,Consumer
profile,http://www.linkedin.com/company/chargezoom,Chargezoom,"6440 Millrock Drive, Salt Lake City, UT",Get paid faster and easier with Chargezoom's AI powered Open Payments Platform.,www.chargezoom.com,Series A ,51-200,FinTech
profile,http://www.linkedin.com/company/herodevs,HeroDevs,"9561 S 700 E, Sandy, UT 84070",HeroDevs is the industry experts on “life after end-of-life” for open-source software.Our open-source packages and experts let you keep using your software safely and in compliance — allowing you to migrate if and when you’re ready.,www.herodevs.com,Series A ,51-200,B2B Software
profile,http://www.linkedin.com/company/honasoftware,Hona,"553 Timpanogos Cir Suite 2300, Orem, UT 84097",Hona is an application that helps law firms update their clients on their case. Clients receive a better experience and law firms have less redundant communication.,www.hona.com,Series A ,51-200,B2B Software
profile,http://www.linkedin.com/company/hypercraftusa,Hypercraft,"1200 Towne Centre Boulevard, Provo, UT",Hypercraft believes in a future where innovators have greater access to the best EV technology. We are positioned to unleash the unlimited performance potential of electrified and hybrid propulsion in every motorized industry vertical.,www.hypercraftusa.com,Seed ,51-200,Energy
profile,http://www.linkedin.com/company/i-drive-logistics,iDrive Logistics,"1850 Ashton Boulevard, Lehi, UT","Our mission is to empower eCommerce businesses to succeed on a global scale.

Founded in 2008 by small parcel industry leaders, iDrive Logistics provides shipping and fulfillment solutions for top ecommerce Brands and 3PL fulfillment warehouses.",www.idrivelogistics.com,Seed ,51-200,Consumer
profile,http://www.linkedin.com/company/isotalent,IsoTalent,"2600 Executive Parkway, Lehi, UT","IsoTalent is a full-service recruiting agency in Lehi, Utah, with clients from around the world. We offer affordable hourly rates, high-touch collaboration with our team of professional recruiters, and tech-backed applicant tracking and screening methods.",www.isotalent.com,Seed ,51-200,B2B Software
profile,http://www.linkedin.com/company/moises,Music AI ,"4001 South 700 East, Salt Lake City, UT","Music AI is a trailblazing AI-powered music and audio platform offering an expansive suite of more than 50 stackable AI audio solutions. Embraced by record labels, agencies, technology firms, and developers, Music AI is synonymous with audio innovation. ",www.music.ai,Series A ,51-200,Consumer
profile,http://www.linkedin.com/company/motivhealth,Motivhealth,"10421 South Jordan Gateway, South Jordan, UT",The insurance company creatively solving the high cost of healthcare.,www.motivhealth.com,Seed ,51-200,B2B Software
profile,http://www.linkedin.com/company/murf-ai,Murf,"341 South Main Street, Salt Lake City, UT","Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence. Murf helps users create lifelike voice overs in a matter of minutes, without the need for any recording equipment.",www.murf.ai,Series A ,51-200,B2B Software
profile,http://www.linkedin.com/company/nectarhr,Nectar HR,"1300 W Traverse Pkwy, Lehi, UT 84043","Nectar gives organizations the tools to build a culture people won't want to leave. Our platform helps your workplace foster a sense of community, purpose and appreciation where people feel valued and rewarded for their hard work. It also keeps your mission and company core values top of mind.",www.nectarhr.com,Series B ,51-200,B2B Software
profile,http://www.linkedin.com/company/nivati-co,Nivati,"10808 South River Front Parkway, South Jordan, UT","Nivati is a multi-pronged wellness solution designed for companies prioritizing their employees' wellbeing. With Nivati, employees thrive through a comprehensive, all-in-one wellness app that grants convenient access to various tools, exercises, and a network of professional providers. ",www.nivati.com,Seed ,51-200,B2B Software
profile,http://www.linkedin.com/company/nursaapp,Nursa,"5295 Commerce Drive, Murray, UT",Reimagining the healthcare staffing industry by connecting clinicians and facilities directly to improve patient care.,www.nursa.com,Series B ,51-200,Marketplaces
profile,http://www.linkedin.com/company/pillow-cube,Pillow Cube,"1815 S State St, Orem, UT 84097",Pillow Cube is the first pillow designed specifically for side sleepers.,www.pillowcube.com,Series A ,51-200,Consumer
profile,http://www.linkedin.com/company/project-solar,Project Solar,"1850 West Ashton Boulevard, Lehi, UT","Project Solar is disrupting the solar industry. With our innovative e-commerce platform, we have removed door-to-door salespeople and dropped the price of solar by about 50%. We've helped thousands of homeowners join the solar revolution and are poised for even more growth and impact with our recent $23M Series A round of financing.",www.projectsolar.com,Series A ,51-200,Consumer
profile,http://www.linkedin.com/company/redo-tech,Redo ,"14761 Future Way, Draper, UT 84020",Crush cart abandonment & watch loyalty soar through elevated purchase & post purchase experience - completely free.,www.getredo.com,Series A ,51-200,B2B Software
profile,http://www.linkedin.com/company/remilabs,Remi,"1800 Ashton Boulevard, Lehi, UT","We find roofers more roofs, and homeowners the right roofer.",www.remihq.com,Series A ,51-200,B2B Software
profile,http://www.linkedin.com/company/rivethealth,Rivet Health,"9815 S Monroe Street, Sandy, UT 84070","When patients ask their provider ""what will this cost?""​, they hear a variety of responses that communicate some form of ""we don't know""​. Rivet is software for providers to answer that question quickly and accurately.",www.rivethealth.com,Series B ,51-200,B2B Software
profile,http://www.linkedin.com/company/stayai,Stay AI,"3209 Daybreaker Drive, Park City, UT",Stay AI is the subscription management app that helps DTC brands on Shopify supercharge their growth.,www.stay.ai,Series A ,51-200,B2B Software
profile,http://www.linkedin.com/company/teamstrider,Strider ,"10377 South Jordan Gateway, South Jordan, UT","Strider is revolutionizing the way companies, governments, and research institutions protect their innovation and compete in a new era of strategic competition. Our trailblazing technology and intelligence solutions enable customers to proactively visualize, manage, and respond to state-sponsored IP theft and supply chain vulnerabilities.",www.striderintel.com,Series C ,51-200,Security 
profile,http://www.linkedin.com/company/tava-health,Tava Health,"645 South 200 East Salt Lake City, Utah 84111","A mental health benefit for every employee, because healthy minds matter.",www.tavahealth.com,Series B ,51-200,Bio/Medical Tech
profile,http://www.linkedin.com/company/thepicklr,The Picklr,"559 South Deseret Drive, Kaysville, UT","The Picklr is the world's fastest-growing network of premium indoor pickleball courts, offering an unparalleled experience for players of all skill levels. With more than 390 state-of-the-art clubs sold worldwide, The Picklr provides programs for beginners to pros, and a vibrant atmosphere. ",www.thepicklr.com,Series B ,51-200,Consumer
profile,http://www.linkedin.com/company/torusrev,Torus ,"855 West 2400 South, Salt Lake City, UT",Empowering individuals and communities to become their own renewable energy provider.,www.torus.co,Series A ,51-200,Energy
profile,http://www.linkedin.com/company/justvanilla,Vanilla,"310 South Main Street, Salt Lake City, UT","Vanilla is the world’s first Estate Advisory Platform, purpose-built by advisors and estate professionals to help wealth management firms deliver a holistic, modern estate planning experience to their clients.",www.justvanilla.com,Series B ,51-200,FinTech
profile,http://www.linkedin.com/company/usevoze,Voze ,"44 W 13800 S, Draper , UT 84020","Get timely, detailed and valuable notes from your sales reps in the field.",www.voze.com,Series A ,51-200,B2B Software
profile,http://www.linkedin.com/company/xevant,Xevant,"3400 North Ashton Boulevard, Lehi, UT",The actionable insights you need to lower drug costs and improve health outcomes.,www.xevant.com,Series D+ ,51-200,B2B Software
profile,http://www.linkedin.com/company/zartico,Zartico,"26 South Rio Grande Street, Salt Lake City, UT",Zartico is a SaaS technology company that uses data science and AI to create marketing performance solutions. ,www.zartico.com,Series A ,51-200,B2B Software
profile,http://www.linkedin.com/company/3helix-inc,3Helix,"650 Komas Drive, Salt Lake City, UT","3Helix develops and markets a novel collagen targeting technology, providing scientists and clinicians with new tools to investigate collagen pathology and to develop diagnostics and therapeutics for diseases with high collagen remodeling activities.
",www.3helix.com,Seed ,2-10,Bio/Medical Tech
profile,http://www.linkedin.com/company/drumcv,DrumCV,"2022 Tuscany Way, Pleasant Grove, UT","Sick & tired of Customer Support getting all the blame? DrumCV's AI-powered support dispositions are ""Giving Back Vacations to Support Leaders.""",www.drumcv.com,Seed ,2-10,B2B Software
profile,https://www.linkedin.com/company/canopy-inc/,Canopy Tax,"10355 S Jordan Gateway Suite 500, South Jordan, UT 84095",Canopy is an accounting practice management software that simplifies your firm so you can help more clients.,https://www.getcanopy.com/,Series C ,51-200 ,B2B Software
profile,https://www.linkedin.com/company/observepoint/,ObservePoint ,"2100 Pleasant Grove Blvd #300, Pleasant Grove, UT 84062","Ensure privacy compliance standards, validate landing pages, confirm data tracking, clearly see your entire marketing tech stack, validate your ecommerce engines, and much more. ObservePoint presents the reality of what’s happening on your website and gives you a clear map to make it even better.
",https://www.observepoint.com/,Series B ,51-200,Security 
profile,https://www.linkedin.com/company/mxenabled/,MX,"N 3401 N Thanksgiving Way #500, Lehi, UT 84043","MX Technologies, Inc. is a leader in actionable intelligence, enabling financial providers and consumers to do more with financial data. MX provides end-to-end solutions for financial institutions and fintechs to connect to, understand, and act on customers’ financial data.",https://www.mx.com/,Series D+ ,501-1K,FinTech
profile,https://www.linkedin.com/company/neighbor/,Neighbor ,"2600 Executive Pkwy Suite 550, Lehi, UT 84043",Neighbor is a peer-to-peer storage company that connects people with unused space to people in need of storage.,www.neighbor.com,Series B ,51-200,Marketplaces
profile,https://www.linkedin.com/company/bookclubdotcom/,BookClub,"7533 Center View Ct, # 4134, West Jordan, Utah 84084","BookClub transforms books into interactive experiences so teams can learn and develop in any way that suits them
",www.bookclub.com,Series A ,11-50,B2B Software
,,,,,,,,
profile,https://www.linkedin.com/company/lvt/,Liveview Technologies ,"802 E 1050 S American Fork, Utah 84003 US","LVT provides rapidly-deployable surveillance hardware that runs on our proprietary SaaS platform. Our enterprise-grade safety and security ecosystem makes it easy to secure virtually any physical environment through intelligent automation and actionable insights.
",https://www.lvt.com/,Series B ,501-1K ,Security 
profile,https://www.linkedin.com/company/lucidsoftware/,Lucid,"10355 S Jordan Gateway #300, South Jordan, UT 84095","Lucid is a visual collaboration suite that helps teams see and build the future. Virtual whiteboarding, intelligent diagramming, and cloud visualization empower organizations to take plans from initial ideas to successful delivery. ",https://lucid.co/,Series D+,1K-5K,B2B Software
profile,https://www.linkedin.com/company/jump-app-ai/,Jump ,"14761 Future Way, Draper, UT 84020","Trusted by enterprise and loved by advisors, Jump is the leading AI tool for wealth managers and financial advisors that automates notetaking, compliance, CRM updates, and much more
",https://jumpapp.com/,Seed,11-50 ,B2B Software
profile,https://www.linkedin.com/company/previbenefit/,Previ,"3400 Ashton Blvd #160, Lehi, UT 84043","Our mission at Previ is to help employees save more of their hard-earned paycheck.

Employees and their families save $1,200+ annually on their cell phone bill by switching to Previ, and at no cost to the company to launch or maintain.",https://previ.com/,Seed,11-50,B2B Software
profile,https://www.linkedin.com/company/getalpyne/,Alpyne,"3585 e Ceres Dr, Salt Lake City, Utah 84124, US

","Complete control for fractional CFOs.

The Alpyne platform harnesses modern APIs and data infrastructure to make the lives and work of finance professionals easier and more fulfilling. Stop wrangling data and worflow across dozens of client systems. Get everything in to one place and focus on what you're good at.",https://www.getalpyne.com/,Pre-Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/distroio/about/,Distro,"550 West State Street, Lehi, UT 84043","Distro is a platform where companies can find and match with top quality talent in over 200 countries around the world, then interview and hire, and automate payroll.",https://distro.io/,Seed,2-10,Marketplaces
profile,https://www.linkedin.com/company/getparallel/,Parallel,,"Parallel is an easy-to-use financial modeling platform built for early-stage companies helping them understand their runway, revenue, burn, and the impact of decisions without needing to build complex financial models.",https://getparallel.com/,Seed ,2-10,B2B Software
profile,,Avy,"6975 South Union Park Avenue, Cottonwood Heights, UT 84047","Humans. Computers. Great teams will be made of both.
We believe in teamwork, in trust, and that humans and computers will work together side-by-side in a better future. So we're building it.",https://www.avy.ai/,Seed,11-50,B2B Software
profile,https://www.linkedin.com/company/awardco/,Awardco,"2080 W 400 N, Lindon, UT 84042","Awardco boosts productivity, reduces spend, and builds culture through value-driven recognition and rewards. Awardco is the only employee recognition and total rewards platform to be a featured partner with Amazon Business, and has the largest reward network on the planet—all with zero markups.
",https://www.award.co/,Series A ,501-1K,B2B Software
profile,https://www.linkedin.com/company/filevine/,Filevine ,"1260 Stringham Ave, Salt Lake City, UT 84106
","Filevine is changing the way legal work gets done for law practitioners and their clients. As the leading legal work platform, Filevine is dedicated to empowering organizations with tools to simplify and elevate complex, high-stakes legal work. P",https://www.filevine.com/,Series D+,501-1K,B2B Software
profile,https://www.linkedin.com/company/snoballplatform/,Snoball ,"1064 S N County Blvd Suite 300, Pleasant Grove, UT 84062","Word of Mouth Marketing. Done for You.

Get more customers as Snoball generates referrals, creates marketing assets, and collects reviews from your happy customers. Finally, a word of mouth marketing platform that does it all for you.",https://snoball.com/,Series B ,11-50,B2B Software
profile,https://www.linkedin.com/company/refer-pro/,Referpro ,"1633 W Innovation Way, Lehi, UT 84043","Unlock the Power of Referrals with ReferPro. Your Go-To Automated Referral Platform for Service Businesses.
",https://referpro.co/,Seed,11-50,B2B Software
profile,https://www.linkedin.com/company/deepsee/,DeepSee,"13907 S Minuteman Drive, Draper, UT 84020","DeepSee’s Knowledge Process Automation (KPA) platform represents a new category of people-first automation solutions that mines unstructured data, operationalizes AI-powered insights, and automates results into real-time action for the enterprise. ",https://deepsee.ai/,Series A ,11-50,B2B Software
profile,https://www.linkedin.com/company/askelephant/posts/?feedView=all,AskElephant,"12459 S 300 E Suite 102 , Draper UT 84020",AskElephant is the AI-powered platform that automates workflows for go-to-market teams,https://www.askelephant.ai/,Pre-Seed,11-50,B2B Software
profile,https://www.linkedin.com/company/whistic/posts/?feedView=all,Whistic,"1221 S Valley Grove Way #350, Pleasant Grove, UT 84062","The Whistic Platform leverages a powerful AI engine to streamline vendor assessments and customer trust programs, making both sides of the process faster, smarter, and more efficient.",whistic.com,Series B,51-200,B2B Software
profile,https://www.linkedin.com/company/helperlycare/?viewAsMember=true,Helperly,"9547 S 700 E STE 201 Sandy, UT 84070","Helperly is transforming the way the seniors age. We honor senior's unique purpose through true connection.
We utilize AI to help seniors live longer, healthier, and more connected lives. Seniors connect  with others virtually through interest based micro communities, then within the software we utilize AI to predict the physical, mental, and emotional needs of each user based on their use of the app, equipped with that information we work with senior care services that are free to the senior through their insurance to help them get the care they need, before they're in crisis. ",helperly.com ,Seed,11-50,Consumer
profile,https://www.linkedin.com/company/lendio/,Lendio,"4100 Chapel Ridge Road, Suite 500, Lehi, UT 84043","Lendio is the nation's leading Marketplaces connecting small businesses, lenders, and small business service providers through a single integrated technology platform. ",https://www.lendio.com/,Series D+,201-500,Marketplaces
profile,https://www.linkedin.com/company/controlqore/?viewAsMember=true,ControlQore ,"905 N Marshall Way, Suite C Layton, Utah 84041",Comprehensive financial management and accounting solution for construction. Replaces QuickBooks for construction and brings all financial transactions for a construction company under one roof.,https://www.controlqore.com/,Pre-Seed,2-10,FinTech
profile,https://www.linkedin.com/company/kualico,Kuali,"3300 North Ashton Boulevard, Lehi, UT 84043, US","Kuali is a leading developer of administrative SaaS solutions for higher education. The company’s thoughtfully designed software, created in partnership with their community of college and university customers and partners, has proven to help institutions manage their business more efficiently.",https://www.kuali.co/,Series D+,51-200,B2B Software
profile,https://www.linkedin.com/company/carketa,Carketa,"3400 Ashton Blvd Suite 450 Lehi, UT 84043",Automotive Data and Insights Platform,https://carketa.com/,Seed,11-50,B2B Software
profile,https://www.linkedin.com/company/monetacloud/?viewAsMember=true,Moneta,"350 East 400 South,  Suite 316 Salt Lake City UT 84111",Cloud Visibility and Cost Optimization Platform,https://www.monetacloud.com/,Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/sponsorcx,SponsorCX,"3401 N Thanksgiving Way # 190, Lehi, Utah 84043","SponsorCX is a comprehensive sponsorship management platform that streamlines and automates sponsorship sales, fulfillment, and reporting for organizations.",sponsorcx.com,Series A,11-50,B2B Software
profile,https://www.linkedin.com/company/mindlesslabs,Mindless Labs,"1935 E. Vine Street, Ste. 110,  Salt Lake City, Utah 84121","Mindless Labs is a mental health platform and movement dedicated to helping people become and stay mentally healthy and radically alive. Through innovative technology and high-end streetwear, we aim to bridge the gap between traditional therapy and alternative healing. ",mindless.org,Pre-Seed,2-10,Consumer
profile,https://www.linkedin.com/company/benji-card/,Benji Card,"1117 E Yard Row Saratoga Springs, UT 84045","Transforming the way healthcare is paid for with innovative payment solutions that simplify healthcare payments, providing flexibility, transparency, and cost control. ",benjicard.com,Pre-Seed,2-10,FinTech
profile,https://www.linkedin.com/company/jobnimbus/posts/?feedView=all,JobNimbus,"3451 Triumph Blvd Suite 650, Lehi, UT 84043",SaaS platform to help home contractors manage their business and grow,https://www.jobnimbus.com/,Series B,201-500,B2B Software
profile,https://www.linkedin.com/company/covesmart,Cove,"14015 minuteman Dr Draper, UT 84020",DIY home security company,covesmart.com,Seed,11-50,Security 
profile,https://www.linkedin.com/company/guard-iq?trk=blended-typeahead,Guard IQ,"2575 W 400 N Suite 100B, Lindon, UT 84042",Venue management technology for the world’s largest sports and entertainment facilities. ,GuardIQ.com,Pre-Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/enzo-health,Enzo Health,"3300 Triumph Blvd Suites 100 and 200, Lehi, UT 84043",Enzo Health automates documentation for Post-Acute Healthcare Facilities. ,https://www.enzo.health,Seed,11-50,B2B Software
profile,linkedin.com/company/pocketbk,Pocketbook,"1630 N 1770 E, Logan, Utah 84341","Pocketbook helps reduce your IT spend through vendor negotiations and consolidation, outsourcing, and other cost saving opportunities",pocketbk.com,Pre-Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/neighbor/,Neighbor,"2600 Executive Pkwy, Lehi, UT 84043",An online Marketplaces that connects people with extra space in their homes or properties to others who need storage or parking.,neighbor.com,Series B,51-200,Marketplaces
profile,https://www.linkedin.com/company/zonos/,Zonos,"975 S Tech Ridge Dr, St. George, UT 84770
","Helping decouple international shipping, duty, taxes, and fees.",https://zonos.com/,Series A,51-200,B2B Software
profile,https://www.linkedin.com/company/vasion-software/,Vasion,"432 S Tech Ridge Dr, St. George, UT 84770",Making Digital Transformation Attainable for Everyone,https://vasion.com/about-us/,Series A,201-500,B2B Software
profile,https://www.linkedin.com/company/renew-biotechnologies/,Renew Biotechnologies,"412 W Rivers Edge Dr, Provo, UT 84604","Renew Biotechnologies is a leading innovator in the molecular diagnostics industry, specializing in the development and commercialization of cutting-edge technologies derived from Oxford Nanopore Technologies (ONT). The company operates under a unique business model, managing a portfolio of subsidiaries that hold or actively develop molecular diagnostic technologies. Each subsidiary is structured to function independently, allowing for tailored commercialization strategies and focused growth without impacting the overall asset management of the parent company. Renew’s core mission is to enhance precision diagnostics and personalized care through innovative technology solutions, fundamentally transforming patient outcomes in various medical fields.",https://www.renewbt.com/,Series A,11-50,Bio/Medical Tech
profile,https://www.linkedin.com/company/viusbuilt/,VIUS,"786 divisions road, park city Utah 84098",Construction management,Viusbuilt.com,Pre-Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/fluid-livefree/,Fluid,"139 Hunter’s Grove Ln STE 207 Lehi, UT 84043","Fluid is the e-commerce, sales, and marketing platform powering the next generation of direct sales companies. ",https://www.fluid.app,Series A,51-200,B2B Software
profile,https://www.linkedin.com/company/14820679/,Trinsic,"2701 North Thanksgiving Way, Ste 100, Lehi, UT 84043",10x faster identity verification. Like Stripe for identity wallets (instead of payment wallets).,trinsic.id,Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/plansight/posts/?feedView=all,Plansight,"2500 Executive Pkwy, Lehi, UT 84043",Helping employers discover high-quality benefits for their employees at affordable rates.,https://www.plansight.com/,Series B ,11-50,B2B Software
profile,https://www.linkedin.com/company/salesrabbit,SalesRabbit ,"2000 Ashton Blvd., #450, Lehi, UT 84043",Field Sales Management Platform,salesrabbit.com,Series D+,51-200,B2B Software
profile,https://www.linkedin.com/company/getmallow/,Mallow,"St. George, UT",Payments and eContracts Software for Digital Businesses,https://www.getmallow.com,Pre-Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/listo-global,Listo Global,,"Find, Hire and Pay your global team",Listoglobal.com,Seed,11-50,B2B Software
profile,https://www.linkedin.com/company/74098548,Relay Health,"815 W 1250 S, Orem, UT 84058","Relay helps people overcome addiction with a team of peers. It's like if AA were invented in 2025. For example, when someone is struggling in isolation, Relay matches them with 3-7 other peers with the same challenge, makes it easy to reach out for help when vulnerable, and enables change through shame-free accountability and facilitated connection.",www.joinrelay.app,Seed,2-10,Consumer
profile,https://www.linkedin.com/company/airbatch/,Airbatch,,Quality control platform for brands ordering from outsourced factories. ,Airbatch.io,Pre-Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/elektrikapp?trk=profile-position,Elektrik App Inc,1396 W 200 S Bldg 2 Unit E Lindon UT 84042,"Marketplaces for Medium and High Voltage electrical equipment. Transformers, cable, connectivity… we make it so easy.",Elektrikapp.com,Seed,11-50,Marketplaces
profile,https://www.linkedin.com/company/grainhq/?viewAsMember=true,Grain,"2701 N Thanksgiving Way #100, Lehi, UT 84043",AI Notetaker & Conversation Intelligence,grain.com,Series A,11-50,B2B Software
profile,https://www.linkedin.com/company/alcomy/,Alcomy,"815 W 1250 S, Suite 119, Orem, Utah 84058","Alcomy is revolutionizing the residential assisted living industry by operating beyond the traditional binder with a cutting-edge mobile digital system that is both intuitive and easy to adopt. This innovative software streamlines the documentation process, making it effortless for caregivers to access, update, and manage resident care plans in real time. By simplifying complex tasks and enhancing communication, Alcomy ensures that every team member can deliver consistent, high-quality care while focusing on what truly matters—the well-being of residents.",www.alcomy.com,Seed,2-10,B2B Software
profile,https://www.linkedin.com/company/usedevote/,Devote,"155 N 400 W, Salt Lake City, UT 84101","An all-in-one financial platform for nonprofits: Automate donor engagement, manage budgets and restricted funds, and track expenses seamlessly.",https://usedevote.com/,Pre-Seed,2-10,FinTech
profile,https://www.linkedin.com/company/learnie/,Learnie,"705 Matterhorn dr. Park City, UT 84098","Peer to peer microlearning platform.  Capture the knowledge of your people, improve performance and create community learning. ",mylearnie.com ,Pre-Seed,2-10,B2B Software
