Display Type,LinkedIn Link (map it to Links to get the logo),Startup Name ,Full Address,Description of startup,Website,Stage,# of Employees ,Section,Founded Year,Founded Source,Logo URL,Logo Source,Pitch,Product Category,Target Market,Monetization Model,Founders,Notable Customers,Funding,Open Role Count,Differentiation Claim,Key Metrics,Integrations,Pages Crawled,Hallucination Flags
profile,http://www.linkedin.com/company/goboostly,Boostly,"560 South 100 West, Provo, UT",Boostly provides text marketing & feedback software for restaurants that works seamlessly with their POS & online ordering providers.,www.boostly.com,Seed ,11-50,B2B Software,2017,https://html.duckduckgo.com/html/?q=%22Boostly%22+founded+year+www.boostly.com,https://framerusercontent.com/assets/oyTJV04Z2m5EklFWks7BT9ZKWQ.png,og:image,"Boostly is a restaurant marketing platform that automates text messaging, review generation, social media, and ROI tracking to drive new customer acquisition and repeat orders for independent restaurant owners.",Vertical SaaS for restaurant marketing and customer engagement,smb,subscription,,,,,"{""claim"": ""Integrated platform combining SMS marketing, review generation, SEO, social media, and transparent ROI measurement specifically built for restaurants; patent-protected technology."", ""sourceQuote"": ""From first impression to repeat customer—Boostly powers every stage of your restaurant's growth. Attract new diners, boost orders, manage reviews, and measure real ROI—all in one effortless platform.""}","[{""metric"": ""Restaurants served"", ""value"": ""thousands"", ""sourceQuote"": ""We serve thousands of restaurants and millions of consumers throughout the U.S.""}, {""metric"": ""Reviews generated"", ""value"": ""thousands"", ""sourceQuote"": ""Thousands of reviews generated for restaurants using Boostly""}, {""metric"": ""Average ROI"", ""value"": ""600-800%"", ""sourceQuote"": ""On average we're seeing a 600 - 800% ROI from Boostly, depending on location.""}, {""metric"": ""SMS open rate"", ""value"": ""90%+ within 3 minutes"", ""sourceQuote"": ""Over 90% text messages are read within 3 minutes of being received.""}]",,"[""https://www.boostly.com"", ""https://www.boostly.com/about"", ""https://www.boostly.com/careers"", ""https://www.boostly.com/jobs""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/getbritehr,Brite,"341 South Main Street Floor, Salt Lake City, UT",Brite is benefits education software built for benefits brokers. Our platform allows you to scale superior benefits education across any size client. Brite combines customizable content with integrated decision support tools to give employees an education experience like nothing they have ever experienced.,www.britebenefits.com,Series A ,11-50,B2B Software,2019,https://html.duckduckgo.com/html/?q=getbritehr+founded+year,https://cdn.prod.website-files.com/687faf1501735ecaecd43546/687faf1501735ecaecd43643_Frame%205546.jpg,apple-touch-icon,"A benefits education platform for HR teams and brokers to create, distribute, and optimize employee benefits guides across digital and print channels, eliminating confusion and reducing enrollment support overhead.",Vertical SaaS for employee benefits administration and HR technology,mid-market,subscription,"[{""name"": ""Landon Fielding"", ""title"": ""Founder & CEO""}]","[""Podium"", ""BlenderBottle"", ""Chatbooks"", ""Tyson Foods"", ""Aon"", ""Gallagher"", ""IMA"", ""Alliant"", ""Risk""]",,,"{""claim"": ""Platform-agnostic and carrier-agnostic benefits guide builder with built-in AI-powered decision support, no login required access across multiple channels, and real-time analytics—eliminating the need for portals and reducing HR fatigue during enrollment."", ""sourceQuote"": ""Brite is platform-agnostic and carrier-agnostic. That means you can use it alongside whatever systems you already have in place. No login required — ever. Personalized AI assistant for on-demand answers. Real-time data on clicks, completions, and drop-offs""}","[{""metric"": ""employees reached"", ""value"": ""More than 3 million employees"", ""sourceQuote"": ""More than 3 million employees learn about their benefits with Brite!""}]",,"[""https://www.britebenefits.com"", ""https://www.britebenefits.com/about"", ""https://www.britebenefits.com/about-us"", ""https://www.britebenefits.com/pricing""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/brooksee,Brooksee,"374 South 671 West, Pleasant Grove, UT","Brooksee is redefining the endurance industry by producing world-class events and delivering cutting-edge timing technology. With a national portfolio that includes iconic races like the Portland Marathon, Las Vegas Marathon, Mesa Marathon, and the REVEL Race Series, Brooksee hosts over 60,000 participants annually.",www.brooksee.com,Seed ,11-50,B2B Software,2012,https://html.duckduckgo.com/html/?q=%22Brooksee%22+founded+year+www.brooksee.com,https://icons.duckduckgo.com/ip3/brooksee.com.ico,ddg-favicon,"Brooksee is an endurance-event production company that designs and operates marathons and road races while providing technology services (timing, results, athlete tracking, bib production, equipment rental) to event organizers.",Vertical SaaS / services for endurance event production and race management,,,"[{""name"": ""<UNKNOWN>"", ""sourceQuote"": ""founded in 2012 by electrical engineers with a passion for road racing""}]",,,,"{""claim"": ""All-in-one event production platform combining technological innovation with hands-on endurance event operations, built by electrical engineers with a passion for road racing."", ""sourceQuote"": ""founded in 2012 by electrical engineers with a passion for road racing, Brooksee was created in the vision of an all-in-one event production powerhouse where technological innovation and endurance events collide""}",,,"[""https://www.brooksee.com"", ""https://www.brooksee.com/about"", ""https://www.brooksee.com/team"", ""https://www.brooksee.com/careers""]",[]
profile,http://www.linkedin.com/company/builtforteams,Built for Teams,"155 North 400 West, Salt Lake City, UT","Built is a unique Position Intelligence platform that provides leaders with tools for organizational planning, scenario modeling, accurate headcount budgeting and reporting, and succession planning.",www.builtapp.com,Seed ,11-50,B2B Software,,https://html.duckduckgo.com/html/?q=www.builtapp.com+founded+year,https://www.builtapp.com/images/logos/built.png,og:image,"HR teams use Built to centralize org structure, position data, and workforce planning—automating org charts, headcount approvals, succession planning, and internal mobility to align talent strategy with business goals.",Vertical SaaS for HR/workforce planning; position-based organizational management platform,enterprise,contact-sales,,"[""Yamaha""]",,,"{""claim"": ""The world's first platform to embed positions as the fundamental building block of every organizational solution, powering position control, headcount planning, and org design in an integrated system."", ""sourceQuote"": ""Positions are the fundamental building block of every organization. We're the world's first platform to embed this truth into every solution we offer, powering smarter workforce decisions and better strategic outcomes.""}","[{""metric"": ""Reduction in Overhiring Costs"", ""value"": ""100%"", ""sourceQuote"": ""100%\nReduction in Overhiring Costs""}, {""metric"": ""Faster Time-to-Hire"", ""value"": ""46%"", ""sourceQuote"": ""46%\nFaster Time-to-Hire""}, {""metric"": ""Better Leadership Pipeline"", ""value"": ""2.4X"", ""sourceQuote"": ""2.4X\nBetter Leadership Pipeline""}, {""metric"": ""Reduction in Turnover"", ""value"": ""23%"", ""sourceQuote"": ""23%\nReduction in Turnover""}]",,"[""https://www.builtapp.com""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/cardagraph,Cardagraph,"2961 Maple Loop Drive, Lehi, UT","Cardagraph is a product release roadmapping tool that uses AI to know what can fit on your roadmap. Plan with accurate + updated release timelines you can trust and stop running blind.
",www.cardagraph.com,Seed ,11-50,B2B Software,2019,https://html.duckduckgo.com/html/?q=%22Cardagraph%22+founded+year+www.cardagraph.com,https://framerusercontent.com/assets/jmDrN65KBZ5HDxtFHzRGYBQI.png,og:image,"Cardagraph is a software delivery planning platform that helps engineering leaders forecast release timelines, model scenario changes, and govern release scope in real-time based on actual team capacity and work patterns.",B2B SaaS for software delivery planning and forecasting,enterprise,contact-sales,,"[""Chick-fil-A"", ""Emtrain""]",,,"{""claim"": ""Uses real work activity and historical patterns to forecast delivery timelines and enable teams to make plan adjustments in minutes rather than hours, grounded in actual operating patterns rather than estimates."", ""sourceQuote"": ""Turn good plans into great releases by embracing change and making adjustments in minutes, not hours. Use real work activity, historical patterns, and current progress to understand what is likely to ship and when.""}",,,"[""https://www.cardagraph.com"", ""https://www.cardagraph.com/about-us""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/cinchplatform,Cinch ,"67 W 13490, Draper, UT 84020",Cinch is a marketing automation platform—built on an enterprise-level customer data platform. Why does that matter? Because the success of your marketing communications rests on the power of your customer database.,www.cinch.io,Seed ,11-50,B2B Software,2020,https://html.duckduckgo.com/html/?q=cinchplatform+founded+year,https://icons.duckduckgo.com/ip3/cinch.io.ico,ddg-favicon,"Cinch is a Customer Data and Experience Platform (CDXP) for multi-location and franchise businesses that unifies customer data and enables automated, omnichannel marketing campaigns to drive retention and lifetime value.",Vertical SaaS for multi-location retail and service businesses; CDP + marketing automation platform,smb,contact-sales,,,,,"{""claim"": ""Built specifically for multi-location businesses, franchises, and agencies with a low-code, drag-and-drop interface designed for marketers rather than developers; includes built-in omnichannel tools (SMS, email, direct mail, online reviews, coupons) all unified under one platform."", ""sourceQuote"": ""Cinch distills all that into a drag-and-drop platform that pretty much anyone can use. Cinch is a low-code, no-code solution designed with marketers in mind.""}","[{""metric"": ""locations served"", ""value"": ""4,000+"", ""sourceQuote"": ""Serving 4,000+ Locations Across Industries""}]","[""HubSpot"", ""Klaviyo""]","[""https://www.cinch.io"", ""https://www.cinch.io/about""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/cloud-storage-security,Cloud Storage Security,"1944 East Ashley Mesa Lane, Sandy, UT",Cloud Storage Security protects data in the cloud and on premises so that businesses can move forward freely and fearlessly.,cloudstoragesecurity.com,Series B ,11-50,Security ,2020,https://html.duckduckgo.com/html/?q=%22Cloud+Storage+Security%22+founded+year+cloudstoragesecurity.com,https://icons.duckduckgo.com/ip3/cloudstoragesecurity.com.ico,ddg-favicon,"Enterprise SaaS platform for discovering, monitoring, and securing data stored in AWS, Azure, and GCP cloud storage, with built-in antivirus scanning and threat detection to prevent ransomware and data exfiltration.",Cloud storage security (DSPM and antivirus for cloud platforms),enterprise,subscription,,"[""MYOB""]",,,"{""claim"": ""Multi-engine malware scanning and in-tenant antivirus protection directly within cloud storage (AWS, Azure, GCP) without data exfiltration, combined with comprehensive data discovery, activity monitoring, and public exposure management in a single platform."", ""sourceQuote"": ""In-Tenant Scanning Run scanning directly in your environment so your data never leaves your control. Multi-Engine Malware Scanning Scan files with multiple antivirus engines to detect known and emerging threats with high accuracy""}",,"[""AWS"", ""Azure"", ""GCP"", ""Sophos"", ""Kion"", ""HashiCorp""]","[""https://cloudstoragesecurity.com""]",[]
profile,http://www.linkedin.com/company/joincontinuum,Continuum ,"2845 East 3365 South, Salt Lake City, UT","Continuum is a fractional executive Marketplaces for venture-backed startups. Find experienced, on-demand startup operators to help you navigate your most urgent company growth challenges.",joincontinuum.com,Series A ,11-50,B2B Software,2013,https://html.duckduckgo.com/html/?q=%22Continuum%22+founded+year+joincontinuum.com,https://icons.duckduckgo.com/ip3/joincontinuum.com.ico,ddg-favicon,,,,,,,,,,,,[],[]
profile,http://www.linkedin.com/company/dropletforms,Droplet ,"2701 North Thanksgiving Way, Lehi, UT","Droplet provides a software solution to eliminate paper documents and time consuming approval workflows. Built with school districts in mind but available to all! Digitize paper forms, add in multi-step approval & routing logic, collect e-signatures and keep all important documents in a secure location.",www.droplet.io,Seed ,11-50,B2B Software,2020,https://html.duckduckgo.com/html/?q=%22Droplet%22+founded+year+www.droplet.io,https://icons.duckduckgo.com/ip3/droplet.io.ico,ddg-favicon,"Document automation and workflow platform for K–12 school districts to digitize forms, approvals, and e-signatures with minimal IT overhead.",Vertical SaaS for K–12 education; document automation and workflow platform,enterprise,contact-sales,,,,,"
  <parameter name=""claim"">Purpose-built for K–12 schools with built-in compliance (FERPA, SOC 2, HIPAA, COPPA) and pre-built templates for education-specific workflows across all departments.",,,"[""https://www.droplet.io"", ""https://www.droplet.io/about"", ""https://www.droplet.io/company""]",[]
profile,http://www.linkedin.com/company/getelements,Elements ,"879 Baxter Drive, South Jordan, UT",Elements gives financial planning firms the modern tools they need to quickly demonstrate value to prospective clients and consistently grow their revenue.,www.getelements.com,Seed ,11-50,FinTech,2020,https://html.duckduckgo.com/html/?q=%22Elements%22+founded+year+www.getelements.com,https://icons.duckduckgo.com/ip3/getelements.com.ico,ddg-favicon,"Financial planning software for financial advisors that streamlines client onboarding and financial assessments using standardized ""vital signs"" methodology to deliver financial advice in 10 minutes instead of 10 hours.",Vertical SaaS for financial advisors; financial planning platform,mid-market,subscription,"[{""name"": ""Reese Harper"", ""title"": ""Founder"", ""sourceQuote"": ""The Elements methodology was created by Reese Harper, who spent nearly two decades advising clients and building tools to make financial decision-making more objective, human, and actionable.""}, {""name"": ""Wade Anderson"", ""title"": ""Chief Executive Officer"", ""sourceQuote"": ""In 2025, Elements entered a new chapter under new ownership led by Reese Harper and Wade Anderson, a group deeply committed to the long-term success of the platform and the customers who rely on it.""}]",[],,,"{""claim"": ""Proprietary Financial Vitals Methodology that uses a standardized set of vital signs (e.g., Equity Rate, Insurance Rate, Savings Rate, Burn Rate, Debt Rate, Tax Rate, Liquid Term, Qualified Term, Real Estate Term, Total Term) to provide a clear, visual snapshot of a client's full financial picture and enable efficient, repeatable financial conversations."", ""sourceQuote"": ""Elements provides a simple, structured way to understand a client's full financial picture by using Financial Vital Signs, intuitive visuals, and longitudinal tracking to focus attention on what matters most.""}",,,"[""https://www.getelements.com"", ""https://www.getelements.com/about"", ""https://www.getelements.com/about-us"", ""https://www.getelements.com/company"", ""https://www.getelements.com/team""]",[]
profile,http://www.linkedin.com/company/emberhome,Ember,"1850 W Ashton Blvd, Lehi, UT 84043","Ember is a real estate proptech company reimagining the vacation home experience through technology, service, and co-ownership.",www.emberhome.com,Series A ,11-50,Consumer,2021,https://html.duckduckgo.com/html/?q=emberhome+founded+year,https://icons.duckduckgo.com/ip3/emberhome.com.ico,ddg-favicon,Ember sells fractional co-ownership (1/8 to 1/2) of luxury vacation homes to affluent consumers who want second home benefits without full purchase costs and property maintenance.,Real estate fintech / fractional ownership platform for vacation homes,consumer,transactional,,,,,"{""claim"": ""Unlike a timeshare, owners have real estate ownership in award-winning, professionally managed homes with turnkey operations—no maintenance or repairs required. Access 30,000+ luxury stays worldwide through Ember Exchange, plus 6+ weeks annual usage flexibility."", ""sourceQuote"": ""No maintenance\nForget yardwork and repairs—Ember takes care of it all\nFlex Your Time\n6+ weeks a year scheduled from the Ember app\nRight sized for you\nChoose your ownership, from 1/8 to 1/2, for a perfect fit\nReal ownership\nUnlike a timeshare, you own the real estate""}",,,"[""https://www.emberhome.com"", ""https://www.emberhome.com/about-us""]",[]
profile,http://www.linkedin.com/company/flowell-inc,Flowell,"419 East Coatsville Avenue, Salt Lake City, UT",We help health coaches land a job or start their business in half the time! Join a community dedicated to your success!,www.flowell.co,Seed ,11-50,Consumer,2020,https://html.duckduckgo.com/html/?q=%22Flowell%22+founded+year+www.flowell.co,https://icons.duckduckgo.com/ip3/flowell.co.ico,ddg-favicon,<UNKNOWN>,<UNKNOWN>,,,,,,,,,,"[""https://www.flowell.co/team"", ""https://www.flowell.co/our-team""]",[]
profile,http://www.linkedin.com/company/fluentworlds,FluentWorlds,"3317 North Cottonwood Lane, Provo, UT","VIEW builds immersive 3D e-learning environments with AI, linking learners to historical and modern expertise in tailored virtual worlds. The Company included three brands all laser-focused on taking learning to a new level - FluentWorlds, 3DMeet, and its latest innovation, QuikLearn.",www.fluentworlds.com,Seed ,11-50,B2B Software,2011,https://html.duckduckgo.com/html/?q=%22FluentWorlds%22+founded+year+www.fluentworlds.com,https://icons.duckduckgo.com/ip3/fluentworlds.com.ico,ddg-favicon,Consumer language-learning app offering immersive 3D environments and AI-powered accent coaching via subscription.,Consumer language-learning app with 3D immersion and AI pronunciation coaching,consumer,subscription,,,,,"{""claim"": ""Immersive 3D environments that simulate real-world scenarios for language learning, plus AI-powered accent guidance technology."", ""sourceQuote"": ""Our innovative teaching technology leverages the power of immersion and interaction in simulated \""real world\"" environments. This transformative method accelerates learning and enhances memory.""}",,,"[""https://www.fluentworlds.com"", ""https://www.fluentworlds.com/about"", ""https://www.fluentworlds.com/team"", ""https://www.fluentworlds.com/our-team"", ""https://www.fluentworlds.com/careers"", ""https://www.fluentworlds.com/jobs"", ""https://www.fluentworlds.com/customers""]",[]
profile,http://www.linkedin.com/company/sellgauge,Gauge,"332 East 3300 South, Salt Lake City, UT",We create a competitive bidding process to get you the most money possible for your vehicle at no cost or obligation to you. You can even use our free tools to help you sell privately at the same time.,www.sellgauge.com,Seed ,11-50,Consumer,2009,https://html.duckduckgo.com/html/?q=sellgauge+founded+year,https://icons.duckduckgo.com/ip3/sellgauge.com.ico,ddg-favicon,"Gauge buys used cars directly from consumers at competitive prices by running an auction among its buyer network, replacing traditional dealer trade-ins and private sales with a simpler, higher-paying process.",B2C automotive marketplace / used car buying platform,consumer,transactional,"[{""name"": ""Josh Hirahara"", ""title"": ""Founder and Chief Executive Officer"", ""sourceQuote"": ""Gauge was born out of my personal experience buying and selling on the private market. In college, I flipped a few of my cars and motorcycles on the side and realized, just like everyone else selling privately, I wanted to make sure I didn't leave a single penny on the table.""}, {""name"": ""Anna Kelley"", ""title"": ""Co-Founder and Chief Operations Officer"", ""sourceQuote"": ""Anna Kelley\nCo-Founder and Chief Operations Officer""}]",,,0,"{""claim"": ""No-broker direct purchase model where Gauge competes buyer offers to guarantee the highest price without the hassle of private sales or dealer lowballs."", ""sourceQuote"": ""While there are a ton of companies out there trying to make selling your car faster and easier, it often comes at the expense of getting the most money... I have spoken to hundreds, if not thousands, of people selling their cars privately, and none of them decided to sell privately because it was easier - they wanted more money, not fewer clicks or to sell from their couch.""}","[{""metric"": ""cars purchased"", ""value"": ""8500+"", ""sourceQuote"": ""Cars purchased\n8500+""}, {""metric"": ""revenue to sellers"", ""value"": ""$250m"", ""sourceQuote"": ""Made by sellers\n$250m""}, {""metric"": ""founded"", ""value"": ""2020"", ""sourceQuote"": ""Founded\n2020""}]",,"[""https://www.sellgauge.com"", ""https://www.sellgauge.com/about"", ""https://www.sellgauge.com/about-us"", ""https://www.sellgauge.com/company"", ""https://www.sellgauge.com/team"", ""https://www.sellgauge.com/careers""]","[""differentiationClaim"", ""founders[0]"", ""keyMetrics[1]"", ""keyMetrics[2]""]"
profile,http://www.linkedin.com/company/heyhalda,Halda,"560 South 100 West, Provo, UT","At Halda, we're changing the game in enrollment marketing by making things simpler and more personal, kind of like your favorite streaming services. We help universities connect better with prospective students, guiding them smoothly from their first click all the way to enrollment",www.halda.ai,Seed ,11-50,B2B Software,2020,https://html.duckduckgo.com/html/?q=%22Halda%22+founded+year+www.halda.ai,https://icons.duckduckgo.com/ip3/halda.ai.ico,ddg-favicon,"AI-powered student engagement platform that automates and personalizes communication across email, SMS, voice, and web for higher education enrollment teams to increase yield from existing recruiting budgets.",Vertical SaaS for higher education enrollment/student recruitment,enterprise,contact-sales,,,,,"
<parameter name=""claim"">AI agents that individualize every student interaction across multiple channels and drive 15-25% more yield from the same name buys and budgets, replacing multiple legacy vendors with a single integrated platform.",,,"[""https://www.halda.ai"", ""https://www.halda.ai/about"", ""https://www.halda.ai/about-us"", ""https://www.halda.ai/company"", ""https://www.halda.ai/team"", ""https://www.halda.ai/our-team"", ""https://www.halda.ai/careers"", ""https://www.halda.ai/jobs"", ""https://www.halda.ai/pricing"", ""https://www.halda.ai/customers"", ""https://www.halda.ai/case-studies""]",[]
profile,http://www.linkedin.com/company/halosight,Halosight,"13 West Wasatch Street, Midvale, UT","Halosight is AI for account managers and customer advisors who want to use every email, text, ticket, and conversation to prioritize, personalize, automate and coach. Turn customer interactions into profitable team improvements.",www.halosight.com,Series A ,11-50,B2B Software,2018,https://html.duckduckgo.com/html/?q=%22Halosight%22+founded+year+www.halosight.com,https://icons.duckduckgo.com/ip3/halosight.com.ico,ddg-favicon,"AI meeting recorder that automatically captures conversations and populates CRM records for sales reps, eliminating manual data entry and ensuring clean customer context.",AI sales automation / CRM data intelligence,mid-market,subscription,,,,,"{""claim"": ""Built rep-first rather than for managers—captures conversations automatically and updates CRM without requiring reps to spend time on manual entry, driving adoption and data quality"", ""sourceQuote"": ""We built Halosight for your reps first. Because when they love it, you get the data, insights, and accountability you've been chasing. No more begging for CRM updates.""}","[{""metric"": ""Transcription Accuracy"", ""value"": ""95%+"", ""sourceQuote"": ""95%+\nTranscription Accuracy""}, {""metric"": ""Time Saved Per Rep"", ""value"": ""6hrs/week"", ""sourceQuote"": ""6hrs/week\nSaved Per Rep""}, {""metric"": ""Setup Time"", ""value"": ""7 minutes"", ""sourceQuote"": ""7 minutes\nSetup Time""}]","[""Salesforce"", ""HubSpot"", ""Microsoft 365"", ""Showpad"", ""Snowflake""]","[""https://www.halosight.com"", ""https://www.halosight.com/about"", ""https://www.halosight.com/pricing""]",[]
profile,http://www.linkedin.com/company/joinleland,Leland,"2701 North Thanksgiving Way, Lehi, UT","Leland is a Marketplaces for ambitious people to access the coaching, classes, content, and community they need to reach career and educational goals.",www.joinleland.com,Series A ,11-50,Marketplaces,2020,https://html.duckduckgo.com/html/?q=%22Leland%22+founded+year+www.joinleland.com,https://icons.duckduckgo.com/ip3/joinleland.com.ico,ddg-favicon,"Marketplace connecting ambitious people with career and admissions coaches for courses, bootcamps, and one-on-one coaching across professional development, test prep, and school applications.",EdTech platform / coaching marketplace for career development and admissions,consumer,subscription,,,,7,"{""claim"": ""Provides access to thousands of career and admissions experts through a platform democratizing resources historically locked behind elite networks and expensive gatekeepers, with a focus on community, mentorship, and personalized coaching at scale."", ""sourceQuote"": ""Access coaching, courses, and content powered by thousands of career and admissions experts. The best career resources, the best mentors, and the best communities have historically been locked behind elite networks and expensive gatekeepers. We are tearing that down.""}","[{""metric"": ""reviews"", ""value"": ""28,536 reviews (AVG 4.99)"", ""sourceQuote"": ""Join millions of ambitious people reaching their goals on Leland · [28,536 reviews (AVG 4.99)]""}]",,"[""https://www.joinleland.com"", ""https://www.joinleland.com/about"", ""https://www.joinleland.com/careers""]","[""differentiationClaim""]"
profile,http://www.linkedin.com/company/limit-break,Limit Break,"6300 North Sagewood Drive, Park City, UT",We combine the power of Web3 and creativity to build experiences that connect people from all corners of the globe.,www.limitbreak.com,Series B ,11-50,Consumer,2021,https://html.duckduckgo.com/html/?q=%22Limit+Break%22+founded+year+www.limitbreak.com,https://icons.duckduckgo.com/ip3/limitbreak.com.ico,ddg-favicon,"Limit Break is a mobile gaming company that develops free-to-play games like Puzzle Panic designed to engage players with high-quality, immersive experiences.",Mobile gaming,,,[],,,,,,,"[""https://www.limitbreak.com"", ""https://www.limitbreak.com/about"", ""https://www.limitbreak.com/company""]",[]
profile,http://www.linkedin.com/company/metrodorainstitute,Metrodora Institute,"3535 South Market Street, West valley city, UT","Advancing care, diagnostics, and therapeutics for people living with complex multisystem disorders.",www.metrodora.co,Seed ,11-50,Bio/Medical Tech,2021,https://html.duckduckgo.com/html/?q=%22Metrodora+Institute%22+founded+year+www.metrodora.co,https://icons.duckduckgo.com/ip3/metrodora.co.ico,ddg-favicon,<UNKNOWN>,<UNKNOWN>,,,,,,,,,,"[""https://www.metrodora.co"", ""https://www.metrodora.co/about""]",[]
profile,http://www.linkedin.com/company/getmobly,Mobly ,"2801 N Thanksgiving Way, Lehi, UT 84043","Introducing Mobly, an event-agnostic lead capture app. Just snap a picture of a badge or business card, and we'll convert to text, enrich it to create a fully-workable lead, and sync it with your CRM in seconds! No card? No problem! Just type in a name and company, and we'll do the rest!",www.getmobly.com,Seed ,11-50,B2B Software,2023,https://html.duckduckgo.com/html/?q=%22Mobly%22+founded+year+www.getmobly.com,https://icons.duckduckgo.com/ip3/getmobly.com.ico,ddg-favicon,"B2B SaaS platform that helps GTM teams systematize lead capture, follow-up, and ROI measurement for in-person events through QR/badge scanning, instant messaging, and AI-powered lead scoring.",Vertical SaaS for B2B event marketing operations,mid-market,contact-sales,"[{""name"": ""Zach Barney"", ""title"": ""CEO"", ""sourceQuote"": ""\""Hello there 👋 meet the new Mobly\"" - Zach Barney, CEO""}]","[""Stensul"", ""Netradyne"", ""Suralink"", ""JLL"", ""Pattern"", ""Shutterstock"", ""Awardco"", ""Otelier"", ""Ramp Financial"", ""Insperity"", ""Paddle"", ""Conservice"", ""School.ai"", ""Reading Horizons"", ""Nearmap"", ""Siro"", ""B10 Energy"", ""MedTrainer""]",,,"{""claim"": ""AI-powered platform that connects fragmented event data (badge scanners, spreadsheets, venue portals) into one system with instant lead capture, real-time SMS/email follow-up while on the show floor, and automatic ICP scoring—enabling sub-minute time-to-first-engagement vs. industry average of 11 days."", ""sourceQuote"": ""In-person generates a ton of data. The problem? It's spread across badge scanners, spreadsheets, and venue portals. Mobly connects it all. ... Leads captured instantly - QR, badge, card, or handwritten ... Pulse fires your first follow-up text while you're still on the show floor ... <1 min time to first engagement""}","[{""metric"": ""G2 rating"", ""value"": ""4.8/5"", ""sourceQuote"": ""Rated 4.8/5 on G2 from over 100 reviews""}, {""metric"": ""time to first engagement"", ""value"": ""<1 min"", ""sourceQuote"": ""<1 min time to first engagement""}, {""metric"": ""industry average lead response time"", ""value"": ""11 days"", ""sourceQuote"": ""The average team takes nearly two weeks to reach out after an event ... 11/days average event lead response time""}, {""metric"": ""event leads never followed up"", ""value"": ""80%"", ""sourceQuote"": ""80% of event leads are never followed up on""}, {""metric"": ""cost per lead for in-person events"", ""value"": ""$811/lead"", ""sourceQuote"": ""$811/lead highest cost of any B2B channel""}]",,"[""https://www.getmobly.com"", ""https://www.getmobly.com/about""]","[""differentiationClaim"", ""keyMetrics[2]""]"
profile,http://www.linkedin.com/company/livemodal,Modal Living,"Legal 150 South State Street, Salt Lake City, UT","We design our ADUs with your needs in mind and as a space you can utilize any way you like: a studio, mother-in-law apartment, extra residential space for your family, or as an income property.",www.livemodal.com,Seed ,11-50,Consumer,2019,https://html.duckduckgo.com/html/?q=%22Modal+Living%22+founded+year+www.livemodal.com,https://icons.duckduckgo.com/ip3/livemodal.com.ico,ddg-favicon,,,,,,,,,,,,[],[]
profile,http://www.linkedin.com/company/monarx,Monarx,"8 East Broadway, Salt Lake City, UT",Monarx offers a complete and advanced malware protection solution designed specifically for web hosts and server environments. ,www.monarx.com,Series A ,11-50,Security ,2017,https://html.duckduckgo.com/html/?q=%22Monarx%22+founded+year+www.monarx.com,https://23829038.fs1.hubspotusercontent-na1.net/hubfs/23829038/Open%20Graph/Monarx%20Home.png,og:image,"AI-powered malware detection, removal, and runtime protection platform for Linux web hosting providers to secure their customers' websites and servers.",Vertical SaaS / Cybersecurity for web hosting providers,mid-market,subscription,"[{""name"": ""Luke Langford"", ""title"": ""CEO"", ""sourceQuote"": ""Product-oriented technology leader of hypergrowth businesses. Semi-professional pyrotechnician on the side.""}, {""name"": ""Rob Seger"", ""title"": ""CTO"", ""priorCompanies"": [""NSA""], ""sourceQuote"": ""Ex-NSA spy turned cyber security CTO. Loves exaggerative humor. Truly gifted autobiographical writer.""}]","[""ResellerClub"", ""Hostinger"", ""Inmotion"", ""Tucows"", ""Convesio"", ""cloudabove"", ""Big Wet Fish Hosting"", ""Traffic Science""]",,,"{""claim"": ""Signature-less AI detection that sees through modern obfuscation techniques, achieving 99.99% effective automated threat removal with ultra-low false positive rates, plus runtime in-application protection (RASP) and server-level remediation."", ""sourceQuote"": ""The smartest at detecting threats by seeing through modern obfuscation techniques that confuse traditional signature-based tools... Automated and safe removal that is 99.99% effective and has an ultra low false positive rate... Threat Shield works from within the application itself, monitoring and blocking bad behaviors... Effectively removes malicious entities hidden within the OS, stopping respawning, cloaking, and in-memory threats""}","[{""metric"": ""Detection improvement"", ""value"": ""40% more threats discovered vs. competitors"", ""sourceQuote"": ""a comprehensive suite of security services including threat detection, removal, realtime threat shield and a cloud classification system that results in 40% more threats discovered""}]","[""cPanel"", ""WHM"", ""Plesk"", ""WHMCS""]","[""https://www.monarx.com"", ""https://www.monarx.com/about"", ""https://www.monarx.com/about-us"", ""https://www.monarx.com/pricing"", ""https://www.monarx.com/case-studies""]","[""differentiationClaim""]"
