id,Title,description,Communities,Industries,Locations,Topics,link,email
2598,Sorenson Impact Fund,"The Sorenson Impact Foundation, based in Salt Lake City, Utah, invests in innovative social entrepreneurs addressing global challenges, with a focus on underserved communities. The foundation allocates 100% of its assets to impact investments, supporting ventures that promote economic mobility, access to quality education and healthcare, and environmental sustainability. Their portfolio includes program-related investments (PRIs) and mission-related investments (MRIs) across various sectors and geographies.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding|Other,https://sorensonimpactfoundation.org/,
2599,Renewable Tech Ventures,"RenewableTech Ventures is a venture capital firm that invests in early-stage innovations within sectors such as energy, clean technology, green materials, and other related fields. Their investment focus spans the United States and Canada, particularly targeting regions underserved by venture capital. With a combined 80 years of experience in venture capital and clean tech, the team offers not only financial support but also market intelligence, active board participation, and access to an extensive international network of industry contacts, technology leaders, and co-investors",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding|Other,https://www.renewablevc.com/,info@renewablevc.com
2600,Pitted Ventures,"Pitted Ventures, founded in 2021 and based in Sandy, Utah, is a growth capital investment firm specializing in emerging consumer brands. Pitted Ventures distinguishes itself by offering not only financial capital but also a suite of mission-critical services through its affiliates, Pitted Labs and Pitted Logistics, which provide e-commerce channel management, logistics, fulfillment, and enhanced data analytics.",,Consumer Packaged Goods,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://pittedventures.com/,inquiries@pittedventures.com
2601,BIO Utah,"BioUtah is a trade association dedicated exclusively to supporting the state's life sciences sector, which includes medical devices, biopharmaceuticals, diagnostics, and related fields. The organization fosters industry growth through networking opportunities, advocacy for favorable public policies, workforce development programs, and efforts to attract investments, positioning Utah as a hub for healthcare innovation and economic development.",Any,Life Sciences and Healthcare|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth,https://bioutah.org/,kelvyn@bioutah.org
2602,Signal Peak Ventures,"Signal Peak Ventures (SPV) is a Salt Lake City-based venture capital firm that invests in early-stage technology companies across the United States. SPV focuses on partnering with passionate entrepreneurs to build leading companies with enduring value. Their portfolio includes a diverse range of technology-driven businesses, reflecting their commitment to fostering innovation and growth.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://www.spv.com/,info@spv.com
2603,Album,"Album VC, founded in 2014 and based in Lehi, Utah, is a venture capital firm that invests in early-stage technology startups across the United States. The firm focuses on sectors such as software, healthcare services, SaaS, life sciences, and oncology, with a portfolio that includes companies like Andela, Degreed, and Podium. In June 2022, Album VC announced the launch of a $200 million fund, significantly expanding its capacity to support innovative startups.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://www.album.vc/,hello@album.vc
2604,Epic Ventures,"EPIC Ventures, founded in 1994 in Salt Lake City, Utah, is a venture capital firm specializing in early-stage technology investments across sectors such as software-as-a-service (SaaS), healthcare, biotech, security, fintech, and the future of work. The firm has a history of successful investments, including companies like Ancestry, Instructure, Health Catalyst, and Recursion Pharmaceuticals. In September 2024, EPIC Ventures partnered with the University of Utah to launch University of Utah Ventures, Powered by EPIC, aiming to drive regional innovation by supporting early-stage technology companies.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://www.epicvc.com/,info@epicvc.com
2605,Convoi Ventures,"Convoi Ventures, founded in 2021, is a Utah-based pre-seed venture capital firm dedicated to identifying and funding the state's emerging startups. The firm focuses on sectors such as consumer technology, fintech, and SaaS, emphasizing investments in founders who demonstrate rapid progress with minimal resources. By fostering a community-centric approach, Convoi Ventures regularly organizes high-quality events to cultivate strong relationships among founders and limited partners, thereby strengthening Utah's entrepreneurial ecosystem.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://www.convoiventures.com/,info@convoiventures.com
2606,Pelion Ventures,"Pelion Venture Partners, founded in 1986 and based in Salt Lake City, Utah, is a venture capital firm specializing in early-stage investments in software-based technology companies across the United States. The firm focuses on sectors such as B2B SaaS, fintech, marketplaces, cloud computing, and security, with a portfolio that includes successful companies like Cloudflare, Divvy, and Weave. In October 2021, Pelion closed its seventh fund at $365 million, exceeding its initial target of $250 million, to continue supporting innovative technology founders.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah,Funding,https://pelionvp.com/,info@pelionvp.com
2607,Grix,"Grix Venture Capital, based in Salt Lake City, Utah, focuses on pre-seed investments in enterprise software startups. The firm supports companies from ""Day Zero"" with funding and expertise, particularly in software, artificial intelligence, and B2B solutions, across North America and Europe",,Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://www.grix.vc/,
2608,BIOHive Utah,"BioHive is a public-private partnership in Utah aimed at fostering innovation and growth within the life sciences and healthcare industries. It connects startups, established companies, investors, and academic institutions, positioning Utah as a leader in medical research and digital health solutions.",Any,Life Sciences and Healthcare,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth,https://www.biohive.com/,
2609,Tandem Ventures,"Tandem Ventures is a Draper, Utah-based venture capital firm specializing in early-stage investments. The firm supports startups across industries, focusing on financial software, logistics, and business productivity solutions.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://tandeminvest.com/,team@tandeminvest.com
2610,Peterson Ventures,"Peterson Ventures is a Utah-based seed-stage venture capital firm specializing in early investments in startups, particularly in SaaS, digital commerce, fintech, and healthtech sectors. Known for its founder-first approach, the firm provides funding between $250,000 and $1 million and strategic support to help entrepreneurs navigate growth challenges; its portfolio includes companies like Allbirds, Ethos, and Lucid Software",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://www.petersonventures.com/,contact@petersonventures.com
2611,Kickstart Fund,"Kickstart Fund, established in 2008, is a venture capital firm based in Cottonwood Heights, Utah, specializing in seed-stage investments within the Mountain West region. The firm focuses on sectors such as B2B SaaS, fintech, healthtech, and consumer products, aiming to support early-stage startups through capital and strategic guidance. Notable companies in their portfolio include Podium, SonderMind, and Lucidchart, reflecting their commitment to fostering innovation and growth in the regional startup ecosystem.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://www.kickstartfund.com/,info@kickstartfund.com
2612,World Trade Center Utah,"World Trade Center Utah (WTC Utah) is a nonprofit organization dedicated to accelerating the growth of Utah companies by connecting them to global markets. Affiliated with the World Trade Centers Association, WTC Utah offers services such as market expansion assistance, supply chain optimization, and access to grants, aiming to make international business as accessible as local commerce.",Any,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth,https://www.wtcutah.com/,info@wtcutah.com
2613,Red Rock Angels,"Red Rock Angels is an angel investor group based in St. George, Utah, dedicated to providing capital, mentorship, and resources to early-stage companies across various sectors, including technology, healthcare, and consumer products. The group comprises experienced entrepreneurs and accredited investors passionate about fostering entrepreneurship and economic growth in Southern Utah. They are currently accepting applications from entrepreneurs seeking funding and support for their ventures.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://redrockangels.com/,info@redrockangels.com
2614,Salt Lake Angels,"The Salt Lake City Angels (SLCA) is an angel investment group that provides a platform for investors to collaboratively research and evaluate early-stage companies, offering both capital and mentorship to selected startups. SLCA emphasizes core values such as mutual respect, human dignity, ethical business practices, diversity, and humility in all interactions with members and entrepreneurs. Their strategy focuses on a broad investment thesis, fostering a diverse membership of accredited investors, maintaining a robust pipeline of quality startups, conducting comprehensive due diligence, and ensuring effective organizational administration.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://slcangels.org/,support@slcangels.org
2615,Utah Manufacturers Association,"The Utah Manufacturers Association (UMA) is the leading alliance for Utah's manufacturing community, representing over 1,200 manufacturing and service providers statewide. UMA offers its members a range of benefits, including networking opportunities, legislative advocacy, safety training, and access to industry-specific resources. The association is committed to addressing the unique challenges faced by manufacturers, providing support from internal operations to representation at the Utah State Capitol.",Any,Manufacturing,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth,https://manufacturingutah.com/,info@manufacturingutah.com
2616,Park City Angels,"The Park City Angels is Utah's largest and most active angel investment group, comprising over 85 accredited investors who provide early-stage capital to high-growth companies across the United States. Since its inception in 2008, the group has invested more than $85 million in over 1,275 individual investments, supporting ventures across various industries. Beyond financial backing, members offer mentorship, industry expertise, and valuable connections to entrepreneurs, aiming to foster innovation and economic growth",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://www.parkcityangels.com/,info@parkcityangels.com
2617,RevRoad,"RevRoad, founded in 2017 and based in Provo, Utah, is a venture services firm focused on accelerating the growth of early-stage startups. Entrepreneurs benefit from RevRoad's comprehensive support in navigating key growth stages.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding,https://www.revroad.com/,info@revroadcapital.com
2618,Wildcat MicroFund,"The Wildcat MicroFund, established in 2018 at Weber State University, provides early-stage entrepreneurs across Utah with grants of up to $3,000 to support the launch and growth of their businesses. Unlike traditional business competitions, the fund emphasizes execution by awarding funding based on the completion of specific milestones, utilizing frameworks like Lean Startup and Business Model Canvas to validate scalable business models. Since its inception, the Wildcat MicroFund has awarded over $780,000 to more than 300 entrepreneurs, fostering high-growth business opportunities throughout the state.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://www.weber.edu/wildcat-microfund/,wildcatmicrofund@weber.edu
2619,Utah MEP,"The Utah Manufacturing Extension Partnership (Utah-MEP) is the state's official representative of the MEP National Network, dedicated to enhancing the competitiveness of Utah's manufacturing sector. Utah-MEP offers tailored services, including operational assessments, workforce training, and technology integration, to help manufacturers improve productivity and profitability. By collaborating with industry experts and leveraging public and private resources, Utah-MEP aims to foster growth and innovation within the state's manufacturing community.",Any,Manufacturing,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth,https://utah-mep.org/,info@utah-MEP.org
2620,iHub,"The Innovation Hub of Utah County (iHub), established in 2023, is a nonprofit incubator dedicated to assisting young entrepreneurs in Utah County. Located at 389 1300 W, Pleasant Grove, UT 84062, iHub serves as a central resource center for early-stage startups, offering a vast network of mentors to help entrepreneurs overcome obstacles and foster growth. The organization provides tangible solutions and expert advice, acting as a launchpad for entrepreneurs with validated business ideas, equipping them with the necessary tools and support to navigate the complexities of launching and scaling their ventures in today's competitive landscape.",Student,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Utah,Entrepreneurship Communities|Funding|Start a Business,https://www.ihubutah.org/,
2621,iMpact Utah,"iMpact Utah is a nonprofit organization dedicated to enhancing the performance and profitability of Utah's manufacturing sector. They offer comprehensive consulting and training services in areas such as operations optimization, leadership development, sales, marketing, automation, and cybersecurity. By working closely with businesses, iMpact Utah aims to drive measurable improvements, contributing to the state's economic growth and the creation of high-quality jobs.",Any,Manufacturing,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth,https://www.impactutah.org/,info@impactutah.org
2622,Get Started: Business Idea Challenge,"The Utah Startup State Initiative's ""Get Started: Business Idea Challenge"" is a milestone grant program designed to help Utah residents validate and develop early-stage business ideas. Participants can receive up to $500 in non-equity funding to achieve specific milestones, such as idea validation, prototyping, or marketing, within 30-90 days. This supportive environment encourages entrepreneurs to present their concepts without the high pressure of traditional pitch competitions.",Multicultural|New American|Rural|Student|Veteran|Women,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding|Start a Business,https://startup.utah.gov/get-started/,startup@utah.gov
2623,Sillicon Slopes,"Silicon Slopes is a nonprofit organization that empowers Utah's startup and tech community by providing resources, events, and networking opportunities to foster innovation and entrepreneurship. It serves as a central hub for Utah companies and entrepreneurs, offering connections, education, and community engagement to support business growth and development. Notable initiatives include the annual Silicon Slopes Summit, which brings together industry leaders and professionals to discuss trends and opportunities in technology and business.",Any,Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth,https://www.siliconslopes.com/,
2624,EVENT: Utah Tech Week,"Utah Tech Week is a community-driven celebration of technology and innovation. The event features a diverse array of experiences and gatherings hosted by startups, venture capital firms, and community organizations, aiming to foster ""happy collisions"" that lead to friendships, partnerships, and business deals. Participation is open to all, with no cost to attend or sponsor, encouraging widespread involvement in building Utah's tech scene.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://www.utahtechweek.com/,
2625,EVENT: Mountain West Capital Network,"MountainWest Capital Network (MWCN) is Utah's premier business networking organization dedicated to supporting entrepreneurial success and facilitating the flow of financial, intellectual, and human capital. MWCN hosts signature events such as the Utah 100 Awards, which recognize the state's fastest-growing companies, and the Deal Flow Report, summarizing equity-related financial transactions and mergers and acquisitions in Utah. Through these initiatives, MWCN fosters a vibrant business community by celebrating achievements, providing educational opportunities, and facilitating strong business relationships among its members.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://www.mwcn.org/,info@mwcn.org
2626,Women Tech Counsel,"The Women Tech Council (WTC) is a national organization dedicated to amplifying the economic impact of women in the technology sector by developing programs that support the talent pipeline from high school to executive leadership roles. Serving a community of over 10,000 professionals, WTC offers mentoring, visibility, opportunities, and networking to both women and men in technology. Their initiatives include the SheTech program, which engages high school girls in STEM, and the Women Tech Awards, recognizing outstanding contributions by women in tech.",Women,Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Entrepreneurship Communities|Late Stage Growth,https://www.womentechcouncil.com/,info@womentechcouncil.org
2627,EVENT: Business Forward,"Utah Business Forward is a premier conference tailored for executives seeking actionable strategies to advance their businesses. Attendees will benefit from insights shared by industry experts, in areas of acquisitions, AI, branding, entrepreneurship, people & culture, and others.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://forward.utahbusiness.com/,
2628,Small Business Administration (SBA),"The U.S. Small Business Administration (SBA) is a government agency dedicated to supporting entrepreneurs and small businesses through a range of resources and programs. It provides services like business financing, disaster assistance, government contracting support, and entrepreneurial education to help businesses start, grow, and succeed. With a mission to strengthen the economy by empowering small businesses, the SBA serves as a vital partner for businesses navigating challenges and pursuing opportunities.",Any|Multicultural|New American|Rural|Student|Veteran|Women,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Funding|Late Stage Growth|Start a Business,https://www.sba.gov/,answerdesk@sba.gov
2629,EVENT: One Utah Summit,"The One Utah Summit is an annual gathering that brings together Utah's business, nonprofit, and government leaders to discuss and strategize on the state's economic development and future. Historically, the summit has been held biannually, with events in both northern and southern Utah. However, starting in 2025, the summit will transition to a single, three-day event each October at Southern Utah University (SUU) in Cedar City.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://oneutahsummit.utah.gov/,lisonbee@suu.edu
2630,EVENT: Silicon Slopes Tech Summit,"The Silicon Slopes Summit is one of North America's premier tech and business events, bringing together industry leaders, entrepreneurs, and innovators for networking, keynote speeches, and workshops. The upcoming Summit is scheduled for January 13th to 17th, 2025, with events planned at both the UCCU Center at Utah Valley University and the Salt Palace Convention Center in Salt Lake City. Attendees can expect a diverse agenda featuring world-class speakers, networking opportunities, and specialized tracks such as Startup Alley, focusing on emerging businesses and investment opportunities.",,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Box Elder|Cache|Carbon|Daggett|Davis|Duchesne|Emery|Garfield|Grand|Iron|Juab|Kane|Millard|Morgan|Piute|Rich|Salt Lake|San Juan|Sanpete|Sevier|Summit|Tooele|Uintah|Utah|Wasatch|Washington|Wayne|Weber,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://www.siliconslopes.com/summit,
2631,Vision Iron County,"Vision Iron County (VIC) is a nonprofit organization dedicated to guiding the sustainable growth and development of Iron County, Utah. Established in 2017, VIC brings together community stakeholders to address key areas such as natural resource management, land use planning, transportation, and economic development. Through initiatives like the Vision 2050 survey, VIC gathers resident input to align community priorities with future planning efforts.",Rural,Aerospace and Defense|Agriculture|Arts and Entertainment and Recreation|Consumer Packaged Goods|Financial Services|Hospitality and Food Services|Life Sciences and Healthcare|Manufacturing|Other|Software and Information Technology,Beaver|Garfield|Iron|Kane|Washington,Close or Exit a Business|Entrepreneurship Communities|Funding|International Trade|Late Stage Growth|Marketing and Sales|Other|Relocate a Business to Utah|Start a Business|Taxes and Finance,https://visionironcounty.org/,office@cedarcitychamber.org
